goal,foul,corner,offside,yellow_card,red_card,penalty,fastbreak,attempt_1,attempt_2,attempt_3,attempt_4,attempt_5,attempt_6,attempt_7,attempt_8,attempt_9,attempt_10,attempt_11,attempt_12,attempt_13,attempt_14,attempt_15,attempt_16,attempt_17,attempt_18,attempt_19,country
4,29,14,4,4,0,0,0,0,0,7,0,0,0,0,0,5,0,2,0,1,0,7,1,1,0,0,germany
4,40,9,1,6,0,0,0,0,0,6,0,0,0,1,1,1,0,1,0,1,0,9,0,0,0,0,germany
2,37,11,12,3,0,0,0,0,0,5,0,0,0,0,0,3,0,1,1,6,0,11,1,0,0,0,germany
1,28,13,11,4,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,14,0,0,0,0,france
1,20,14,3,3,0,0,0,0,0,5,0,0,0,1,0,1,0,2,2,1,0,11,0,0,0,0,france
1,48,5,4,5,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,8,1,1,0,0,germany
4,23,19,5,4,0,0,0,0,0,11,0,0,0,1,0,2,0,6,0,0,0,11,0,0,0,1,france
2,28,15,3,6,0,0,0,0,0,11,0,0,1,0,0,3,1,1,1,0,0,13,0,0,0,0,france
4,29,20,7,3,0,0,0,0,0,8,0,0,2,0,0,2,0,1,1,4,0,13,1,2,0,0,france
3,30,11,4,7,0,0,0,0,0,12,0,0,1,0,1,0,0,3,1,2,0,5,0,0,0,0,germany
2,35,14,0,5,1,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,1,france
4,37,9,4,1,0,0,0,0,0,3,0,0,0,1,0,4,0,1,0,1,0,17,1,2,0,1,france
3,29,8,8,2,0,0,0,0,0,11,0,0,0,0,0,3,1,0,0,3,0,9,1,0,0,0,germany
3,27,9,6,4,0,2,0,0,0,2,0,0,0,0,0,3,1,0,0,1,2,9,0,0,0,1,germany
4,25,9,2,4,0,0,0,0,0,10,0,0,0,0,1,1,0,5,0,0,0,17,0,1,0,0,france
3,31,7,3,5,0,1,0,0,0,7,0,0,2,1,1,3,0,2,0,1,1,5,1,0,0,1,france
6,31,12,6,5,0,4,0,0,0,5,0,0,1,0,0,4,1,1,1,2,2,16,0,0,0,0,france
2,35,9,9,5,0,0,0,0,0,4,0,0,1,1,0,2,0,1,2,0,0,16,4,0,0,1,germany
1,19,13,6,1,0,0,0,0,0,6,0,0,0,1,0,0,0,2,0,1,0,14,1,0,0,0,germany
3,33,11,2,1,0,0,0,0,0,10,0,0,0,0,0,3,0,1,0,0,0,17,0,1,0,0,0
6,28,9,6,3,0,1,0,0,0,9,0,0,0,0,0,6,0,1,0,0,1,7,1,0,0,0,0
2,31,14,7,4,0,0,0,0,0,7,0,0,0,0,0,1,1,6,0,2,0,14,0,0,0,0,0
1,24,11,4,5,0,0,0,0,0,7,0,0,1,0,1,2,0,7,0,0,0,10,0,1,0,1,germany
1,23,10,1,4,0,0,0,0,0,4,0,0,1,0,0,1,0,2,0,2,0,9,1,1,0,0,0
3,31,14,12,5,0,1,0,0,0,8,0,0,0,1,0,0,0,1,0,1,1,6,0,0,0,0,germany
3,28,10,12,2,0,0,0,0,0,9,0,0,0,0,1,2,0,3,1,0,0,11,0,0,0,0,germany
2,27,14,3,4,0,0,0,0,0,9,0,0,1,0,0,3,0,1,0,0,0,9,0,0,0,0,0
4,21,11,4,6,0,1,0,0,0,6,0,0,0,2,1,5,0,2,0,1,1,15,0,0,0,0,0
2,17,7,9,6,0,1,0,0,0,3,0,0,0,0,0,1,1,5,0,1,1,13,0,0,0,0,germany
2,35,6,6,4,0,0,0,0,0,6,0,0,0,0,0,2,0,3,0,0,0,7,0,1,0,0,france
0,30,11,2,2,0,0,0,0,0,7,0,0,1,0,0,1,1,2,1,1,0,5,1,0,0,0,france
2,17,7,5,3,0,1,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,12,0,0,0,0,france
1,25,16,7,3,0,0,0,0,0,4,0,0,0,0,0,2,1,2,0,1,0,8,0,0,0,0,germany
1,29,7,7,5,0,0,0,0,0,5,0,0,1,0,0,4,0,5,2,0,0,11,0,1,0,0,france
4,32,11,4,7,0,0,0,0,0,8,0,0,2,0,0,2,0,1,0,0,0,7,0,0,0,0,0
1,23,7,10,4,0,0,0,0,0,3,0,0,0,1,0,5,0,3,0,0,0,14,0,1,0,0,france
1,33,8,5,3,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,1,0,15,0,0,0,0,germany
2,26,8,5,5,0,0,0,0,0,10,0,0,0,0,0,3,1,2,0,2,0,12,0,0,0,0,germany
5,30,14,2,3,0,1,0,0,0,6,0,0,1,0,0,3,0,3,0,2,1,11,0,0,1,0,0
2,35,12,9,7,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,10,0,0,0,0,0
2,21,10,2,2,0,0,0,0,0,7,0,0,0,0,0,2,0,3,0,1,0,10,0,1,0,0,0
2,32,6,3,2,0,4,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,14,1,6,0,0,0
1,29,9,6,3,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0
5,27,8,2,6,0,0,0,0,0,10,0,0,0,0,2,1,0,2,0,2,0,12,0,0,0,0,0
2,36,9,5,6,0,0,0,0,0,6,0,0,0,1,0,1,0,1,0,0,0,15,1,0,0,0,0
8,39,13,5,5,0,1,0,0,0,13,0,0,1,0,0,1,1,4,2,2,1,9,2,1,0,0,0
2,32,15,1,6,1,0,0,0,0,2,0,0,0,2,0,7,0,3,1,0,0,13,1,0,0,0,france
3,31,7,4,5,0,1,0,0,0,11,0,0,0,1,0,0,0,4,0,0,1,6,1,0,0,0,france
2,25,11,6,4,0,0,0,0,0,8,0,0,0,0,0,3,1,3,0,0,0,9,0,0,0,0,france
4,32,5,5,7,0,1,0,0,0,4,0,0,0,0,0,4,1,0,0,0,1,10,0,0,0,0,0
3,31,8,5,3,1,1,0,0,0,5,0,0,1,0,0,4,0,0,1,1,1,4,1,2,0,0,0
3,21,3,2,3,0,1,0,0,0,5,0,0,0,0,1,1,0,5,0,0,1,12,1,0,0,0,0
0,29,12,4,6,0,0,0,0,0,11,0,0,0,0,0,3,0,2,1,0,0,5,0,0,0,0,france
2,38,9,7,7,0,0,0,0,0,4,0,0,1,0,0,4,2,0,1,1,0,9,0,1,0,1,germany
6,28,11,9,2,0,0,0,0,0,8,0,0,0,0,0,1,1,1,1,3,0,10,0,1,0,1,0
1,20,7,5,1,0,0,0,0,0,9,0,0,0,0,1,5,1,2,0,1,0,16,2,0,0,0,0
3,27,12,4,7,1,0,0,0,0,7,0,0,0,1,0,3,1,1,0,1,0,14,1,0,0,0,0
3,31,9,3,2,0,0,0,0,0,10,0,0,0,0,1,5,1,5,0,0,0,8,0,0,0,0,0
3,36,8,5,5,0,0,0,0,0,8,0,0,0,0,0,2,0,3,1,1,0,5,1,0,0,0,france
3,22,10,7,5,1,1,0,0,0,4,0,0,0,0,1,3,2,2,0,0,1,10,0,0,0,0,spain
3,25,9,10,1,0,0,0,0,0,10,0,0,0,0,1,4,1,2,0,0,0,6,0,0,0,0,germany
3,27,3,4,4,1,2,0,0,0,7,0,0,0,0,0,0,1,1,0,1,2,9,0,0,0,0,0
0,21,8,5,5,2,0,0,0,0,10,0,0,0,0,0,4,0,2,0,1,0,8,0,4,0,0,germany
7,21,13,2,6,0,0,0,0,0,14,0,0,0,1,0,1,0,1,1,1,0,11,0,0,0,1,spain
1,25,7,3,6,0,0,0,0,0,9,0,0,0,0,0,1,0,4,0,0,0,11,3,0,0,0,0
3,25,11,3,5,0,0,0,0,0,5,0,0,0,0,0,5,1,3,1,0,0,12,0,0,0,1,france
7,35,9,11,4,0,1,0,0,0,5,0,0,0,2,0,1,0,1,1,2,1,6,0,1,0,0,germany
1,34,9,5,4,0,0,0,0,0,9,0,0,0,0,0,0,1,0,2,0,0,9,0,1,0,0,0
0,31,10,3,3,0,0,0,0,0,5,0,0,1,0,1,2,0,1,0,0,0,16,0,0,0,0,france
5,15,12,4,5,0,0,0,0,0,10,0,0,0,0,0,4,0,2,0,0,0,6,2,1,0,1,0
2,34,17,9,2,0,0,0,0,0,9,0,0,0,0,0,2,1,2,1,1,0,9,1,1,0,0,0
3,29,9,13,5,1,1,0,0,0,5,0,0,0,0,0,2,0,1,0,0,1,9,0,1,0,0,0
1,22,14,5,5,0,0,0,0,0,13,0,0,0,1,1,3,1,2,3,0,0,9,0,1,0,0,germany
6,31,16,1,3,0,0,0,0,0,16,0,0,0,0,2,4,0,5,0,2,0,19,0,0,0,0,0
4,28,8,5,2,0,0,0,0,0,7,0,0,0,0,0,3,0,2,0,0,0,8,1,2,0,0,0
5,31,15,2,2,0,1,0,0,0,12,0,0,0,0,0,2,0,4,2,3,1,11,0,0,0,0,france
3,19,10,3,4,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,1,0
2,32,13,3,4,0,0,0,0,0,6,0,0,0,0,1,1,0,1,1,1,0,11,1,0,0,0,0
2,21,5,5,8,0,0,0,0,0,2,0,0,1,0,0,4,1,2,0,0,0,6,0,1,0,0,spain
5,29,11,6,6,0,1,0,0,0,11,0,0,0,1,0,0,0,2,0,0,1,9,0,0,0,0,france
0,17,17,3,1,0,0,0,0,0,11,0,0,0,0,0,6,0,3,0,0,0,24,0,0,0,0,spain
1,33,9,7,5,0,0,0,0,0,5,0,0,1,0,0,2,1,2,0,0,0,9,0,0,0,0,spain
5,25,12,5,6,0,0,0,0,0,4,0,0,0,1,1,4,0,2,1,2,0,7,0,0,0,0,spain
5,21,6,1,4,0,0,0,0,0,10,0,0,0,0,0,4,0,4,1,1,0,14,0,0,0,0,germany
4,29,4,7,4,0,0,0,0,0,11,0,0,0,0,0,4,0,1,0,1,0,12,1,0,0,0,italy
1,37,7,6,6,0,0,0,0,0,6,0,0,0,0,0,3,0,1,0,1,0,13,0,1,0,0,0
3,21,11,4,2,0,0,0,0,0,2,0,0,0,0,0,3,0,3,2,2,0,11,1,1,0,1,france
1,31,10,6,3,0,0,0,0,0,10,0,0,0,0,0,1,0,2,1,1,0,9,0,0,0,0,spain
6,20,10,8,6,0,1,0,0,0,10,0,0,0,0,1,2,2,2,0,0,1,18,0,0,0,0,spain
4,26,5,8,6,1,0,0,0,0,6,0,0,0,1,1,1,0,0,0,0,0,5,0,0,0,1,france
1,28,11,10,3,0,0,0,0,0,7,0,0,1,0,0,5,1,2,0,2,0,7,0,1,0,0,france
2,19,7,6,6,0,0,0,0,0,4,0,0,0,0,1,1,1,2,1,0,0,7,0,0,0,0,france
3,19,5,2,4,0,0,0,0,0,15,0,0,0,0,0,2,2,3,1,1,0,12,0,1,0,0,0
4,28,10,10,3,0,0,0,0,0,11,0,0,0,1,0,2,1,5,2,0,0,9,1,1,0,1,france
1,22,17,8,6,0,0,0,0,0,11,0,0,0,1,3,1,0,2,0,0,0,11,0,0,0,0,france
7,15,12,3,0,0,2,0,0,0,8,0,0,0,0,0,0,0,3,0,1,1,14,0,0,0,0,germany
4,23,3,13,6,1,2,0,0,0,4,0,0,0,2,1,3,0,1,1,0,2,6,0,1,0,0,spain
3,20,13,7,1,0,0,0,0,0,7,0,0,0,1,1,2,0,0,2,1,0,9,2,1,0,0,0
2,25,16,4,8,0,0,0,0,0,8,0,0,1,0,0,4,0,1,0,1,0,14,0,0,0,0,0
4,23,8,7,3,0,0,0,0,0,9,0,0,0,0,1,2,0,0,0,2,0,9,0,0,0,0,0
4,38,11,12,0,0,1,0,0,0,6,0,0,0,0,0,3,0,4,0,0,1,10,0,0,0,1,germany
0,37,8,3,5,0,0,0,0,0,4,0,0,0,0,1,3,0,2,0,0,0,12,0,0,0,0,0
4,23,9,4,7,0,0,0,0,0,9,0,0,1,0,1,2,1,3,1,1,0,9,0,1,0,0,0
3,34,14,4,5,0,0,0,0,0,9,0,0,1,1,0,0,0,4,1,0,0,14,1,0,0,0,spain
0,21,7,3,3,0,0,0,0,0,7,0,0,0,0,0,3,1,2,1,1,0,11,0,2,0,0,france
7,27,11,5,5,0,1,0,0,0,9,0,0,1,1,0,1,0,1,0,0,1,19,0,0,0,1,italy
3,36,5,6,3,0,0,0,0,0,9,0,0,0,1,0,3,0,0,0,3,0,11,0,0,0,0,0
4,34,6,9,4,0,0,0,0,0,9,0,0,0,0,0,2,1,3,0,0,0,10,0,0,0,0,0
